tucaseid,tuactivity_n,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trtec_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tudurstop,tuec24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere
20230101230105,13,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,810,810,1,-1,17:00:00,17:30:00,02,02,01,020201,0202,0
20230101230105,14,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,825,825,1,-1,17:30:00,17:45:00,02,02,03,020203,0202,0
20230101230105,15,1,0,-1,0,-1,-1,-1,-1,-1,-1,135,135,0,0,0,0,960,960,2,-1,17:45:00,20:00:00,12,03,03,120303,1203,0
20230101230105,16,9,0,-1,0,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,965,965,1,-1,20:00:00,20:05:00,02,06,02,020602,0206,0
20230101230105,17,1,0,-1,0,-1,-1,-1,-1,-1,-1,55,55,0,0,0,0,1020,1020,2,-1,20:05:00,21:00:00,12,03,03,120303,1203,0
20230101230105,18,1,0,-1,0,-1,-1,-1,-1,-1,-1,105,105,0,0,0,0,1125,1125,2,-1,21:00:00,22:45:00,12,03,03,120303,1203,0
20230101230105,19,-1,0,-1,0,-1,-1,-1,-1,-1,-1,435,315,0,0,0,0,1560,1440,2,-1,22:45:00,06:00:00,01,01,01,010101,0101,0
20230101230522,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,97,60,60,2,-1,04:00:00,05:00:00,01,01,01,010101,0101,0
20230101230522,2,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,90,90,1,-1,05:00:00,05:30:00,02,02,01,020201,0202,0
20230101230522,3,1,0,-1,0,-1,-1,-1,-1,-1,-1,45,45,0,0,0,0,135,135,1,-1,05:30:00,06:15:00,11,01,01,110101,1101,0
20230101230522,4,1,0,-1,0,-1,-1,-1,-1,-1,-1,180,180,0,0,0,0,315,315,1,-1,06:15:00,09:15:00,12,01,01,120101,1201,0
20230101230522,5,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,375,375,1,-1,09:15:00,10:15:00,12,01,01,120101,1201,0
20230101230522,6,-1,0,-1,0,-1,-1,-1,-1,-1,-1,105,105,0,0,0,0,480,480,2,-1,10:15:00,12:00:00,50,01,06,500106,5001,0
20230101230522,7,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,495,495,1,-1,12:00:00,12:15:00,04,05,99,040599,0405,0
20230101230522,8,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,555,555,1,-1,12:15:00,13:15:00,12,03,03,120303,1203,0
20230101230522,9,1,0,-1,0,-1,-1,-1,-1,-1,-1,105,105,0,0,0,0,660,660,2,-1,13:15:00,15:00:00,12,01,01,120101,1201,0
20230101230522,10,1,0,-1,0,-1,-1,-1,-1,-1,-1,420,420,0,0,0,0,1080,1080,2,-1,15:00:00,22:00:00,12,03,03,120303,1203,0
20230101230522,11,-1,0,-1,0,-1,-1,-1,-1,-1,-1,450,360,0,0,0,0,1530,1440,2,-1,22:00:00,05:30:00,01,01,01,010101,0101,0
20230101230524,1,-1,0,0,0,-1,0,-1,0,-1,0,360,360,0,0,0,97,360,360,2,-1,04:00:00,10:00:00,01,01,01,010101,0101,0
20230101230524,2,1,120,120,0,-1,120,-1,120,-1,120,120,120,1,0,0,0,480,480,1,-1,10:00:00,12:00:00,11,01,01,110101,1101,0
20230101230524,3,12,10,10,0,-1,10,-1,10,-1,10,10,10,1,0,0,0,490,490,1,-1,12:00:00,12:10:00,18,05,01,180501,1805,0
20230101230524,4,2,0,0,0,-1,0,-1,0,-1,0,350,350,0,0,0,0,840,840,2,-1,12:10:00,18:00:00,05,01,01,050101,0501,0
20230101230524,5,12,0,0,0,-1,0,-1,0,-1,0,10,10,0,0,0,0,850,850,1,-1,18:00:00,18:10:00,18,05,01,180501,1805,0
20230101230524,6,1,120,120,0,-1,120,-1,120,-1,120,120,120,1,0,0,0,970,970,1,-1,18:10:00,20:10:00,11,01,01,110101,1101,0
20230101230524,7,1,0,0,0,-1,0,-1,0,-1,0,120,120,1,0,0,0,1090,1090,1,-1,20:10:00,22:10:00,03,01,01,030101,0301,0
20230101230524,8,1,0,0,0,-1,0,-1,0,-1,0,120,120,1,0,0,0,1210,1210,1,-1,22:10:00,00:10:00,05,01,01,050101,0501,0
20230101230524,9,-1,0,0,0,-1,0,-1,0,-1,0,590,230,1,0,0,0,1800,1440,2,-1,00:10:00,10:00:00,01,01,01,010101,0101,0
20230101230556,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,240,240,0,0,0,97,240,240,2,-1,04:00:00,08:00:00,01,01,01,010101,0101,0
20230101230556,2,1,0,-1,0,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,245,245,1,-1,08:00:00,08:05:00,02,02,01,020201,0202,0
20230101230556,3,1,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,265,265,1,-1,08:05:00,08:25:00,11,01,01,110101,1101,0
20230101230556,4,89,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,285,285,1,-1,08:25:00,08:45:00,13,01,31,130131,1301,10
20230101230556,5,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,300,300,1,-1,08:45:00,09:00:00,11,01,01,110101,1101,0
20230101230556,6,1,0,-1,0,-1,-1,-1,-1,-1,-1,45,45,0,0,0,0,345,345,1,-1,09:00:00,09:45:00,12,03,12,120312,1203,0
20230101230556,7,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,375,375,1,-1,09:45:00,10:15:00,02,09,04,020904,0209,0
20230101230556,8,1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,495,495,1,-1,10:15:00,12:15:00,12,03,08,120308,1203,0
20230101230556,9,1,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,515,515,1,-1,12:15:00,12:35:00,11,01,01,110101,1101,0
20230101230556,10,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,575,575,1,-1,12:35:00,13:35:00,12,03,12,120312,1203,0
20230101230556,11,1,0,-1,0,-1,-1,-1,-1,-1,-1,175,175,0,0,0,0,750,750,2,-1,13:35:00,16:30:00,12,03,08,120308,1203,0
20230101230556,12,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,780,780,1,-1,16:30:00,17:00:00,16,01,01,160101,1601,0
20230101230556,13,1,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,800,800,1,-1,17:00:00,17:20:00,02,02,01,020201,0202,0
20230101230556,14,1,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,820,820,1,-1,17:20:00,17:40:00,11,01,01,110101,1101,0
20230101230556,15,1,0,-1,0,-1,-1,-1,-1,-1,-1,150,150,0,0,0,0,970,970,1,-1,17:40:00,20:10:00,12,03,03,120303,1203,0
20230101230556,16,1,0,-1,0,-1,-1,-1,-1,-1,-1,140,140,0,0,0,0,1110,1110,2,-1,20:10:00,22:30:00,12,03,12,120312,1203,0
20230101230556,17,-1,0,-1,0,-1,-1,-1,-1,-1,-1,570,330,0,0,0,0,1680,1440,2,-1,22:30:00,08:00:00,01,01,01,010101,0101,0
20230101230565,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,180,180,0,0,0,0,180,180,2,-1,04:00:00,07:00:00,01,01,01,010101,0101,0
20230101230565,2,3,0,-1,0,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,185,185,1,-1,07:00:00,07:05:00,02,02,01,020201,0202,0
20230101230565,3,3,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,205,205,1,-1,07:05:00,07:25:00,11,01,01,110101,1101,0
20230101230565,4,3,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,325,325,1,-1,07:25:00,09:25:00,04,01,03,040103,0401,0
20230101230565,5,3,0,-1,0,-1,-1,-1,-1,-1,-1,155,155,0,0,0,0,480,480,2,-1,09:25:00,12:00:00,12,03,03,120303,1203,0
